ID,Form,Meaning,Parameter_ID
991303e5-307c-4579-b04e-fff30faa25e2,ulle~ulle,NSGbig,
5373270f-e581-42d7-8d1e-24c1c37f4cf8,llamäg,old_man,
413c979c-9890-4093-b459-df953f1d501e,g-o-täba-neg-än,REM.INTR-RT.EXT.INTR-plan-3PL`S-REM|FUT.3SG`S|A,
77c6a77d-d4dc-45bb-b2e2-a132b162c0f2,ada,like_this,
bbd69520-b25b-41e7-9e56-e5f1ac2549bd,ibi,1NSG.INCL.NOM,
ab38bf6e-603a-4720-bafc-6abe834f3f3b,sisri,now,
9f61bce5-adbd-421b-9a82-c3616cee3570,tongoe,game,
3bda1f21-c6cb-47be-b6d2-d99e3bf0ef25,gänya,this,
8d35eb8b-215b-4acf-9afb-f709c9121361,kuddäll,dead,
1680d967-523c-4763-8aaa-ccca2661a7ac,täräp,time,
7d9ad9d1-3041-4e92-b2b3-dea9058a71d8,ngaskäma,POT,
27b1437a-15c4-461b-ae79-9c312204ddbd,imomdae,true,
c31fa912-5472-4b41-a2a4-0a3a5c53b215,llokttang,strong,
a7aad374-5f85-4e38-bab4-499ae5426fc6,ain,who,
in-cop-prs-sg,=in,COP.PRS.SG,
b2e66b7c-a48d-450c-abac-48fadbba90f5,ibi,go,
fad33ca1-be48-46ab-b800-10038725af62,wi,ALL,
b8d7976a-47cf-4b28-93a2-45b048807ad0,yu,fire,
edb24261-d10d-43f4-b1a6-e56206b54ab9,bäng,fire-stick,
3456ce6e-3109-4292-93fe-9b36963a005c,ony-mäll,carry-DUR,
38ae6579-9345-4f09-9fcc-9ac5ca6514e7,ttongo,one,
da-nom,=da,NOM,
eef740e5-ecc9-4c00-87a7-e7b6e59fab49,d-o-ony-alle,REM.TR-3NDU`P-carry-IRR.SG`S|A,
f38b81b9-5fdd-45cd-ad6d-123c5d7c3176,d-o-wanse-g-alle,REM.TR-3NDU`P-leave_alone-III.NPL-REC.2SG`S|A,
704b8d71-03c3-4ef9-938d-04f8f44804f6,ako,also,
0da74066-0f6e-4470-9e88-933e78801cf8,d-a-ll-alle,REM.TR-RT.EXT.TR-go-HAB.SG`S|A,
fd98fe34-7d10-4991-a325-b30fd92795d2,ngäs,return,
d49e9ae6-9f53-4cb3-beb0-c8f867ca7ae9,watt==a,ABL==NOM,
watt-abl,=watt,ABL,
d865ff4e-d93b-452e-9109-b6439c30bfd0,d-i-weny-alle,REM.TR-VEN-carry-IRR.SG`S|A,
1e798125-5fb7-4225-9eb8-7ca6ae167745,ada,say,
ef4d9c3d-9505-49ea-a867-6497372cecbf,g-o-g-neg-än,REM.INTR-RT.EXT.INTR-AUX.NPRS-3PL`S-REM|FUT.3SG`S|A,
3ab4a175-0248-40bd-b832-e133fcd84456,ai,good,
ef1b87a0-83e3-40df-b865-c630ff0d174c,da,MED.DEM,
0-cop-prs-sg,=0,COP.PRS.SG,
ed6e41fb-bee7-4184-9870-e5acc8cc6017,mɨnyi,FUT,
9814e86c-38f7-45f9-b2f6-6bcd61a1f9cc,däbe,that,
262139f1-01d6-454f-8715-bbda8753194f,b-ä-nges-n-alla,FUT.1|3`S|A-3NDU`P-do-NPFV-FUT.1DU`S|NSG`A,
a98b17b7-765f-461a-9fc7-e072dc707858,aya,who,
aeacdc93-495e-46af-8aab-1e2c27c94bb8,lel,fear,
meny-priv,=meny,PRIV,
c3ae4921-05d6-4c8c-83cf-db70d0d599b5,b-o-g-on,FUT.1|3`S|A-RT.EXT.INTR-AUX.NPRS-REM|FUT.3SG`S|A,
56d06dce-04d1-41a6-8bda-ed558423b790,ngäna,1SG.NOM,
db0f3b39-9128-459e-9388-72386013a59b,b-ony,FUT.1|3`S|A-bring,
588850ba-3cb0-4ee1-a211-166810f96322,di,ACC,
d3d8e0b0-9244-4930-89fa-78c710c6883b,do,to,
o-voc,=o,VOC,
e4665da1-2475-41d8-a90c-8b0d9fdf0c4d,do,there,
f6140e03-f826-4159-9003-1a7d2c4c06a3,b-o-wanse-g,FUT.1|3`S|A-3NDU`P-leave_alone-III.NPL,
aefb76dc-cb12-4316-a08b-4a442ccc4186,b-a-ll-än,FUT.1|3`S|A-RT.EXT.INTR-go-REM|FUT.3SG`S|A,
906f4489-e93d-4d3d-9eb9-83485394f4b1,Awayang,male_personal_name,
2b663f6a-42eb-4159-b010-0abee9232202,Idugoe,male_personal_name,
7c738439-bb9f-48eb-8e86-ca76fd572212,Tizag,dialect_name,
02bf99ec-95f3-4446-81fa-6a8cb7a8f501,da,MED.DEM,
5b5c5d3f-f1ae-4c16-aa2d-5e70b30c5d1a,bogo,3SG.NOM,
67385a57-60e0-477b-80db-3faea8abc60a,eka,speak,
0a35cb23-55c5-4ab2-912c-7bd6fbd579b1,ngänawa,1SG.NOM.emph,
9875003b-01c0-472c-9e09-e5e56683bd87,b-a-lle,FUT.1|3`S|A-RT.EXT.TR-go,
f5f90365-2e41-4de3-ab8c-2d2012c7f449,ako,again,
ddacae21-b549-44e6-9293-9beb5de66b0e,b-ey-a-ngäs,FUT.1|3`S|A-VEN-RT.EXT.TR-return,
4807778c-b6aa-47aa-b298-171fe7620fe5,ttäle,leg,
6cfacd6f-23fc-4c17-8858-4e89407d3349,apte,one_side,
20f89ae0-f2fb-4534-913b-9d4f4c02c3b4,gagäll,bad,
10cd66c7-a3bb-4db6-a5be-2d2495c17435,malla,NEG,
4472b227-1948-417c-b93a-02b9ccdf6f10,mer~mer,ADVgood,
fc164ddd-8e3f-44bc-a043-d2800bc7addf,ag,ATR,
9385c8fe-fff0-4be3-bf25-29ef8ed2cc48,däba,that,
5ba102e8-87d2-470d-9f78-488e175e6fc4,d-ony-än,REM.TR-carry-REM|FUT.3SG`S|A,
